timestamp,px(m),py(m),pz(m),lz(m),vx(m/s),theta_pitch(rad),gyro_pitch_raw(rad/s),gyro_pitch_filtered(rad/s),omega_pitch(rad/s),of_x(pixels/frame)
1724367850.795,-3.189,6.539,0.026,0.027,-0.004,-0.0106814150222052,0.0,-0.23,0.004,0.1
1724367850.837,-3.189,6.539,0.026,0.027,-0.004,-0.0106814150222052,0.0,-0.104,0.001,0.1
1724367850.929,-3.19,6.539,0.027,0.029,-0.006,-0.0104719755119659,0.0,-0.058,0.001,-0.2
1724367850.935,-3.189,6.539,0.027,0.029,-0.004,-0.0107337748997651,0.0,-0.115,0.002,0.0
1724367850.941,-3.189,6.539,0.027,0.028,-0.004,-0.010768681484805,0.0,-0.096,0.001,-0.1
1724367850.953,-3.189,6.539,0.026,0.026,-0.004,-0.010768681484805,0.0,-0.09,0.001,-0.1
1724367850.989,-3.19,6.539,0.026,0.026,-0.006,-0.0105941485596055,0.0,-0.093,0.001,-0.2
1724367851.014,-3.19,6.539,0.026,0.027,-0.006,-0.0106290551446454,0.0,-0.099,0.001,0.2
1724367851.044,-3.189,6.539,0.027,0.029,-0.001,-0.0112050137978035,0.0,0.002,0.0,0.2
1724367851.069,-3.189,6.539,0.027,0.027,-0.003,-0.0110479341651241,0.0,-0.079,0.001,0.1
1724367851.105,-3.189,6.539,0.026,0.027,-0.004,-0.0108559479474047,0.0,-0.118,0.002,0.0
1724367851.172,-3.19,6.539,0.026,0.026,-0.007,-0.0104719755119659,0.0,-0.15,0.002,-0.4
1724367851.209,-3.19,6.539,0.026,0.028,-0.006,-0.0106814150222052,0.0,-0.023,0.0,0.0
1724367851.221,-3.19,6.539,0.026,0.028,-0.005,-0.0106988683147252,0.0,-0.15,0.002,-0.1
1724367851.294,-3.189,6.539,0.026,0.027,-0.004,-0.0109083078249645,0.0,-0.154,0.002,-0.1
1724367851.555,-3.189,6.539,0.026,0.026,-0.003,-0.0110479341651241,0.0,-0.154,0.002,0.1
1724367851.61,-3.19,6.539,0.026,0.027,-0.006,-0.0105766952670856,0.0,-0.157,0.002,-0.2
1724367851.616,-3.19,6.539,0.025,0.027,-0.006,-0.0105766952670856,0.0,-0.193,0.003,-0.2
1724367851.628,-3.189,6.539,0.024,0.023,-0.002,-0.0109955742875642,0.0,-0.108,0.001,0.0
1724367851.634,-3.19,6.539,0.025,0.027,-0.006,-0.0105068820970058,0.0,-0.112,0.001,-0.2
1724367851.641,-3.19,6.539,0.024,0.027,-0.004,-0.0106988683147252,0.0,-0.082,0.001,0.1
1724367851.683,-3.19,6.539,0.026,0.03,-0.003,-0.0109257611174845,0.0,-0.041,0.0,0.1
1724367851.708,-3.19,6.539,0.026,0.027,-0.006,-0.0105068820970058,0.0,-0.105,0.001,-0.2
1724367851.744,-3.19,6.539,0.026,0.027,-0.004,-0.0107337748997651,0.0,-0.072,0.001,-0.1
1724367851.762,-3.19,6.539,0.026,0.027,-0.006,-0.0105766952670856,0.0,-0.202,0.003,0.2
1724367851.799,-3.19,6.539,0.027,0.028,-0.006,-0.0105766952670856,0.0,-0.071,0.001,-0.1
1724367851.817,-3.19,6.539,0.027,0.029,-0.006,-0.0105766952670856,0.0,-0.24,0.004,-0.1
1724367851.823,-3.189,6.539,0.027,0.029,-0.003,-0.0109606677025243,0.0,-0.17,0.002,-0.1
1724367851.829,-3.19,6.539,0.027,0.028,-0.004,-0.010768681484805,0.0,-0.046,0.0,0.2
1724367851.842,-3.19,6.539,0.027,0.027,-0.006,-0.0105243353895258,0.0,-0.068,0.001,-0.1
1724367851.848,-3.191,6.539,0.027,0.027,-0.008,-0.0102974425867665,0.0,-0.228,0.003,-0.1
1724367851.86,-3.19,6.539,0.026,0.027,-0.005,-0.010751228192285,0.0,-0.096,0.001,0.2
1724367851.884,-3.192,6.539,0.026,0.027,-0.012,-0.0097389372261283,0.0,-0.185,0.003,-0.4
1724367851.908,-3.19,6.539,0.026,0.027,-0.006,-0.0105592419745656,0.0,-0.163,0.002,-0.1
1724367851.914,-3.19,6.539,0.026,0.027,-0.004,-0.010768681484805,0.0,-0.158,0.002,-0.2
1724367851.921,-3.189,6.539,0.026,0.028,-0.001,-0.0112399203828434,0.0,-0.065,0.001,0.1
1724367851.945,-3.189,6.539,0.026,0.027,-0.001,-0.0112922802604033,0.0,-0.088,0.001,0.4
1724367851.951,-3.19,6.539,0.026,0.026,-0.004,-0.0108210413623648,0.0,-0.144,0.002,-0.2
1724367851.957,-3.189,6.539,0.025,0.026,-0.001,-0.0112050137978035,0.0,-0.168,0.002,0.2
1724367851.969,-3.19,6.539,0.026,0.027,-0.005,-0.0106988683147252,0.0,-0.065,0.001,-0.2
1724367852.042,-3.19,6.539,0.026,0.027,-0.006,-0.0105243353895258,0.0,-0.095,0.001,0.2
1724367852.085,-3.19,6.539,0.025,0.027,-0.003,-0.0109955742875642,0.0,-0.146,0.002,0.1
1724367852.097,-3.191,6.539,0.025,0.027,-0.007,-0.0105068820970058,0.0,-0.118,0.002,-0.2
1724367852.115,-3.189,6.539,0.026,0.027,-0.002,-0.0112399203828434,0.0,-0.077,0.001,0.2
1724367852.121,-3.19,6.539,0.026,0.027,-0.003,-0.0109955742875642,0.0,-0.219,0.003,0.0
1724367852.152,-3.19,6.539,0.026,0.027,-0.004,-0.0107163216072451,0.0,-0.053,0.0,-0.1
1724367852.329,-3.19,6.539,0.025,0.025,-0.005,-0.0106116018521255,0.0,-0.128,0.002,-0.1
1724367852.354,-3.191,6.539,0.025,0.027,-0.007,-0.0103323491718064,0.0,-0.15,0.002,-0.1
1724367852.39,-3.19,6.539,0.025,0.027,-0.006,-0.0105592419745656,0.0,-0.124,0.002,0.1
1724367852.396,-3.191,6.539,0.024,0.025,-0.006,-0.0104719755119659,0.0,-0.064,0.001,0.1
1724367852.403,-3.19,6.539,0.025,0.028,-0.003,-0.0108384946548847,0.0,-0.078,0.001,0.2
1724367852.409,-3.19,6.539,0.025,0.028,-0.006,-0.0105592419745656,0.0,-0.112,0.001,-0.1
1724367852.415,-3.191,6.539,0.026,0.028,-0.007,-0.0104719755119659,0.0,-0.109,0.001,-0.1
1724367852.427,-3.19,6.54,0.026,0.027,-0.004,-0.0108559479474047,0.0,-0.12,0.002,0.2
1724367852.439,-3.19,6.54,0.026,0.027,-0.003,-0.0109083078249645,0.0,-0.064,0.001,0.1
1724367852.445,-3.19,6.539,0.026,0.027,-0.003,-0.0109083078249645,0.0,0.005,0.0,0.1
1724367852.476,-3.19,6.539,0.026,0.027,-0.003,-0.0109606677025243,0.0,-0.088,0.001,0.0
1724367852.506,-3.191,6.539,0.026,0.028,-0.006,-0.0105766952670856,0.0,-0.137,0.002,-0.1
1724367852.543,-3.19,6.539,0.026,0.026,-0.005,-0.010768681484805,0.0,-0.075,0.001,0.1
