timestamp,px(m),py(m),pz(m),lz(m),vx(m/s),theta_pitch(rad),gyro_pitch_raw(rad/s),gyro_pitch_filtered(rad/s),omega_pitch(rad/s),of_x(pixels/frame)
1724368067.025,0.0,0.0,0.029,0.028,0.0,-0.0122173047639603,0.0,-0.012,0.0,-0.1
1724368067.055,0.0,0.0,0.028,0.028,0.001,-0.0123918376891597,0.0,0.09,-0.001,0.0
1724368067.086,-0.001,0.0,0.028,0.027,-0.002,-0.0118158790360016,0.0,0.027,0.0,-0.3
1724368067.116,0.0,0.0,0.029,0.031,0.0,-0.0121998514714403,0.0,-0.047,0.0,-0.1
1724368067.147,0.0,0.0,0.029,0.031,0.0,-0.0123569311041198,0.0,0.007,0.0,0.2
1724368067.183,0.0,0.0,0.028,0.028,0.0,-0.0123743843966397,0.0,0.027,0.0,0.3
1724368067.214,0.0,0.0,0.028,0.028,0.0,-0.0121649448864004,0.0,0.105,-0.001,-0.1
1724368067.244,-0.001,-0.001,0.028,0.028,-0.003,-0.0117984257434816,0.0,-0.054,0.0,-0.1
1724368067.269,0.0,0.0,0.028,0.028,0.0,-0.0121649448864004,0.0,-0.059,0.001,-0.1
1724368067.3,0.0,0.0,0.028,0.029,0.0,-0.01228711793404,0.0,0.119,-0.002,0.0
1724368067.33,-0.001,0.0,0.029,0.03,-0.002,-0.0119031454986013,0.0,-0.003,0.0,-0.2
1724368067.355,0.0,0.0,0.029,0.03,0.0,-0.01228711793404,0.0,-0.052,0.0,0.4
1724368067.393,0.0,0.0,0.028,0.027,-0.001,-0.0120951317163207,0.0,0.03,0.0,0.0
1724368067.422,0.0,0.0,0.027,0.027,0.0,-0.0122522113490001,0.0,0.036,0.0,0.1
1724368067.446,0.0,0.0,0.027,0.03,0.0,-0.0122173047639603,0.0,0.043,0.0,0.1
1724368067.476,0.0,0.0,0.028,0.03,0.0,-0.0122347580564802,0.0,-0.049,0.0,0.2
1724368067.507,0.0,0.0,0.027,0.027,-0.001,-0.0120078652537209,0.0,-0.013,0.0,0.0
1724368067.537,0.0,0.0,0.028,0.03,0.0,-0.0121823981789204,0.0,-0.016,0.0,0.0
1724368067.574,0.0,0.0,0.028,0.03,0.0,-0.0121649448864004,0.0,0.056,0.0,0.0
1724368067.604,0.0,0.0,0.028,0.029,-0.002,-0.0119729586686811,0.0,0.067,-0.001,0.0
1724368067.628,0.0,0.0,0.028,0.027,0.0,-0.0121649448864004,0.0,-0.035,0.0,0.0
