timestamp,px(m),py(m),pz(m),lz(m),vx(m/s),theta_pitch(rad),gyro_pitch_raw(rad/s),gyro_pitch_filtered(rad/s),omega_pitch(rad/s),of_x(pixels/frame)
1724368207.842,0.0,0.0,0.026,0.027,-0.003,-0.0127059969545187,0.0,0.0,0.0,-0.2
1724368207.873,0.0,0.0,0.026,0.027,-0.003,-0.0126536370769588,0.0,0.05,0.0,-0.2
1724368207.903,0.0,0.0,0.027,0.028,-0.003,-0.0126536370769588,0.0,-0.054,0.0,-0.3
1724368207.939,0.0,0.0,0.026,0.026,-0.003,-0.0126710903694788,0.0,-0.073,0.001,0.0
1724368207.97,0.0,0.0,0.027,0.029,0.002,-0.0134913951179161,0.0,0.009,0.0,0.4
1724368207.994,0.0,0.0,0.027,0.029,-0.003,-0.0126710903694788,0.0,-0.058,0.001,-0.1
1724368208.025,0.0,0.0,0.028,0.029,-0.002,-0.0126885436619987,0.0,0.006,0.0,0.0
1724368208.055,0.0,0.0,0.028,0.028,-0.002,-0.0127059969545187,0.0,-0.003,0.0,0.0
1724368208.098,0.0,0.0,0.028,0.028,-0.002,-0.0126710903694788,0.0,-0.018,0.0,0.0
1724368208.122,0.0,0.0,0.028,0.028,-0.003,-0.0126361837844389,0.0,-0.055,0.0,-0.4
1724368208.147,0.001,0.0,0.028,0.029,0.01,-0.0145036860840728,0.0,0.008,0.0,-0.9
1724368208.177,0.0,0.0,0.027,0.026,-0.003,-0.0125314640293192,0.0,-0.038,0.0,0.3
1724368208.207,0.0,0.0,0.027,0.026,-0.003,-0.0125663706143591,0.0,0.003,0.0,0.0
1724368208.238,0.0,0.0,0.027,0.026,-0.003,-0.012618730491919,0.0,0.046,0.0,0.0
1724368208.263,0.0,0.0,0.026,0.027,-0.003,-0.012601277199399,0.0,-0.001,0.0,-0.8
1724368208.3,0.0,0.0,0.026,0.027,-0.003,-0.0125838239068791,0.0,-0.051,0.0,0.0
1724368208.324,0.0,0.0,0.027,0.028,-0.003,-0.012601277199399,0.0,0.037,0.0,-0.4
1724368208.355,0.0,0.0,0.027,0.027,-0.003,-0.0125838239068791,0.0,0.032,0.0,-0.6
1724368208.385,0.0,0.0,0.027,0.029,0.003,-0.0136659280431156,0.0,0.07,-0.001,0.5
1724368208.416,0.0,0.0,0.027,0.029,-0.003,-0.0126536370769588,0.0,0.026,0.0,0.0
1724368208.452,0.0,0.0,0.028,0.029,-0.003,-0.0126710903694788,0.0,-0.011,0.0,0.0
1724368208.489,0.0,0.0,0.028,0.028,-0.003,-0.0126710903694788,0.0,0.04,0.0,0.2
1724368208.513,0.0,0.0,0.028,0.028,-0.003,-0.0126710903694788,0.0,0.054,0.0,-0.3
1724368208.537,0.0,0.0,0.027,0.027,0.0,-0.0132819556076768,0.0,0.08,-0.001,0.0
1724368208.568,0.0,0.0,0.027,0.027,0.0,-0.0132819556076768,0.0,-0.131,0.002,0.3
1724368208.592,0.0,0.0,0.027,0.028,-0.003,-0.0126885436619987,0.0,-0.036,0.0,-0.3
1724368208.629,0.0,0.0,0.027,0.028,-0.003,-0.0126536370769588,0.0,0.078,-0.001,0.0
1724368208.653,0.0,-0.001,0.027,0.027,-0.003,-0.0126710903694788,0.0,0.012,0.0,0.0
1724368208.683,0.0,0.0,0.027,0.027,-0.003,-0.0127583568320785,0.0,0.001,0.0,0.3
1724368208.714,0.001,0.0,0.027,0.027,0.007,-0.014137166941154,0.0,0.103,-0.001,0.8
1724368208.75,0.0,0.0,0.027,0.028,-0.002,-0.0127758101245984,0.0,-0.031,0.0,-0.1
1724368208.775,0.0,0.0,0.027,0.027,-0.003,-0.012618730491919,0.0,0.081,-0.001,-0.2
1724368208.811,0.0,0.0,0.026,0.026,0.0,-0.0131772358525571,0.0,0.022,0.0,0.3
1724368208.836,0.0,0.0,0.026,0.026,-0.003,-0.0126361837844389,0.0,-0.019,0.0,-0.5
1724368208.872,0.0,0.0,0.026,0.027,0.002,-0.0135088484104361,0.0,-0.009,0.0,-0.5
1724368208.897,0.0,0.0,0.027,0.029,-0.003,-0.0126710903694788,0.0,-0.05,0.0,0.4
1724368208.927,0.0,0.0,0.027,0.029,0.0,-0.0131946891450771,0.0,-0.005,0.0,0.2
1724368208.958,0.0,0.0,0.027,0.027,-0.003,-0.012618730491919,0.0,-0.093,0.001,0.0
1724368208.982,0.0,0.0,0.028,0.03,-0.003,-0.0126536370769588,0.0,0.03,0.0,0.3
1724368209.012,0.0,0.0,0.028,0.028,-0.003,-0.0126536370769588,0.0,0.027,0.0,0.0
1724368209.049,0.0,0.0,0.028,0.028,-0.003,-0.0126885436619987,0.0,0.044,0.0,0.0
1724368209.073,0.0,0.0,0.027,0.027,0.001,-0.0134215819478363,0.0,-0.106,0.001,-0.4
1724368209.104,0.0,0.0,0.027,0.027,0.002,-0.0135961148730358,0.0,-0.053,0.0,0.5
1724368209.14,0.0,0.0,0.027,0.027,0.0,-0.0132470490226369,0.0,0.024,0.0,0.3
1724368209.165,0.0,0.0,0.027,0.027,-0.003,-0.0127059969545187,0.0,-0.042,0.0,0.0
1724368209.195,0.0,0.0,0.027,0.027,-0.003,-0.0127059969545187,0.0,0.039,0.0,-0.3
1724368209.232,0.0,0.0,0.027,0.027,0.0,-0.0132645023151569,0.0,-0.065,0.001,0.1
1724368209.269,0.0,0.0,0.026,0.027,-0.003,-0.0127234502470386,0.0,0.082,-0.001,0.0
1724368209.281,0.0,0.0,0.027,0.028,-0.003,-0.0127758101245984,0.0,-0.019,0.0,-0.3
1724368209.336,0.0,0.0,0.027,0.027,0.0,-0.0133692220702765,0.0,0.013,0.0,0.3
1724368209.342,0.0,0.0,0.027,0.027,-0.002,-0.0130027029273577,0.0,0.008,0.0,-0.2
1724368209.373,0.0,0.0,0.027,0.029,0.001,-0.013526301702956,0.0,-0.136,0.002,0.4
1724368209.403,0.0,0.0,0.027,0.027,-0.001,-0.0131772358525571,0.0,-0.052,0.0,0.2
1724368209.434,0.0,0.0,0.027,0.027,0.001,-0.013526301702956,0.0,0.015,0.0,0.1
1724368209.47,0.0,0.0,0.027,0.027,-0.001,-0.0131772358525571,0.0,-0.025,0.0,0.2
1724368209.495,0.0,0.0,0.026,0.026,-0.003,-0.0128107167096383,0.0,-0.024,0.0,-0.4
1724368209.531,0.0,0.0,0.026,0.027,0.002,-0.0137357412131953,0.0,-0.009,0.0,0.5
1724368209.555,0.0,0.0,0.026,0.027,0.0,-0.0134041286553164,0.0,0.026,0.0,0.3
1724368209.586,0.0,0.0,0.027,0.029,-0.003,-0.0128630765871982,0.0,0.013,0.0,0.0
1724368209.616,0.0,0.0,0.027,0.027,-0.002,-0.0130550628049175,0.0,0.011,0.0,-0.2
1724368209.653,0.0,0.0,0.027,0.029,-0.003,-0.0128805298797181,0.0,0.126,-0.002,0.0
1724368209.671,0.0,0.0,0.028,0.029,-0.001,-0.0130899693899574,0.0,0.034,0.0,0.1
1724368209.701,0.0,0.0,0.027,0.027,0.0,-0.0132470490226369,0.0,-0.144,0.002,-0.1
1724368209.738,0.0,0.0,0.028,0.029,0.001,-0.0135961148730358,0.0,0.056,0.0,0.0
1724368209.775,0.0,0.0,0.028,0.029,-0.001,-0.013229595730117,0.0,0.026,0.0,0.2
1724368209.799,0.0,0.0,0.028,0.028,-0.003,-0.0129328897572779,0.0,0.07,-0.001,0.0
1724368209.823,0.0,0.0,0.027,0.027,-0.003,-0.0129852496348378,0.0,0.021,0.0,0.0
1724368209.854,0.0,0.0,0.027,0.028,-0.003,-0.0130027029273577,0.0,-0.12,0.002,0.0
1724368209.884,0.0,0.0,0.027,0.028,-0.003,-0.0129852496348378,0.0,0.093,-0.001,0.1
1724368209.914,0.0,0.0,0.027,0.028,-0.003,-0.0129852496348378,0.0,0.099,-0.001,0.0
1724368209.951,0.0,0.0,0.027,0.027,-0.003,-0.0130027029273577,0.0,-0.083,0.001,0.4
1724368209.975,0.0,0.0,0.027,0.027,-0.002,-0.0131772358525571,0.0,-0.006,0.0,-0.1
1724368210.006,0.0,0.0,0.026,0.026,-0.003,-0.0129503430497979,0.0,-0.009,0.0,-0.4
1724368210.042,0.0,-0.001,0.027,0.028,-0.003,-0.0129328897572779,0.0,0.021,0.0,-0.7
1724368210.061,0.0,0.0,0.027,0.027,-0.003,-0.0129503430497979,0.0,0.047,0.0,0.8
1724368210.091,0.0,0.0,0.027,0.027,-0.003,-0.012915436464758,0.0,0.014,0.0,-0.3
1724368210.128,0.0,0.0,0.027,0.028,-0.003,-0.0129328897572779,0.0,-0.107,0.001,-0.3
1724368210.152,0.0,0.0,0.028,0.029,0.005,-0.0142767932813136,0.0,-0.054,0.0,0.7
1724368210.182,0.0,-0.001,0.028,0.029,0.002,-0.013823007675795,0.0,0.029,0.0,0.2
1724368210.213,0.0,0.0,0.028,0.029,-0.002,-0.0130027029273577,0.0,0.125,-0.002,0.1
1724368210.243,0.0,0.0,0.028,0.027,-0.001,-0.0131772358525571,0.0,0.014,0.0,-0.3
1724368210.281,0.0,0.0,0.028,0.029,-0.003,-0.0128107167096383,0.0,0.078,-0.001,0.5
1724368210.305,0.0,0.0,0.028,0.029,-0.003,-0.0128630765871982,0.0,0.036,0.0,0.0
1724368210.342,0.0,-0.001,0.028,0.027,-0.003,-0.0128805298797181,0.0,-0.078,0.001,0.0
1724368210.366,0.0,0.0,0.027,0.027,0.001,-0.0135437549954759,0.0,0.06,-0.001,-0.1
1724368210.39,0.001,0.0,0.027,0.027,0.006,-0.0142418866962737,0.0,-0.009,0.0,0.8
1724368210.427,0.0,0.0,0.027,0.027,-0.003,-0.0126885436619987,0.0,-0.044,0.0,-0.4
1724368210.451,0.0,0.0,0.027,0.028,-0.003,-0.0126885436619987,0.0,-0.091,0.001,-0.4
1724368210.482,0.0,0.0,0.027,0.027,-0.003,-0.0127234502470386,0.0,-0.024,0.0,-0.1
1724368210.518,0.0,0.0,0.027,0.027,-0.003,-0.0127409035395586,0.0,-0.042,0.0,0.0
1724368210.542,0.0,0.0,0.027,0.028,-0.002,-0.0128456232946782,0.0,-0.027,0.0,-0.3
1724368210.579,0.0,0.0,0.027,0.027,0.0,-0.0132994089001967,0.0,0.061,-0.001,-0.4
1724368210.603,0.0,0.0,0.027,0.027,-0.003,-0.0126536370769588,0.0,0.044,0.0,-0.2
1724368210.634,0.0,0.0,0.028,0.031,0.002,-0.0135088484104361,0.0,0.079,-0.001,0.2
1724368210.664,0.0,0.0,0.028,0.027,0.002,-0.0134564885328762,0.0,-0.022,0.0,0.2
1724368210.695,0.0,0.0,0.028,0.027,-0.003,-0.0126361837844389,0.0,0.116,-0.002,0.0
1724368210.725,0.0,0.0,0.027,0.027,0.0,-0.0131772358525571,0.0,0.043,0.0,0.3
1724368210.762,0.0,0.0,0.027,0.027,-0.003,-0.0126536370769588,0.0,0.14,-0.002,-0.1
1724368210.786,0.0,0.0,0.028,0.03,-0.003,-0.0126885436619987,0.0,0.019,0.0,0.3
1724368210.816,0.0,0.0,0.028,0.03,0.0,-0.0132819556076768,0.0,-0.003,0.0,-0.3
1724368210.847,0.0,0.0,0.027,0.027,-0.003,-0.0127409035395586,0.0,0.036,0.0,0.4
1724368210.871,0.0,0.0,0.027,0.028,-0.003,-0.0127409035395586,0.0,0.056,0.0,0.0
1724368210.902,0.0,0.0,0.027,0.029,-0.001,-0.0130027029273577,0.0,0.023,0.0,0.1
1724368210.932,0.0,0.0,0.028,0.029,-0.002,-0.0128281700021583,0.0,-0.023,0.0,0.1
1724368210.962,0.0,0.0,0.027,0.027,0.004,-0.0138055543832751,0.0,-0.029,0.0,-0.6
1724368210.999,0.0,-0.001,0.027,0.027,-0.002,-0.0127583568320785,0.0,-0.032,0.0,0.3
1724368211.023,0.0,0.0,0.027,0.027,-0.001,-0.012915436464758,0.0,0.038,0.0,0.2
1724368211.06,0.0,0.0,0.027,0.027,-0.002,-0.0127234502470386,0.0,0.052,0.0,-0.3
1724368211.09,0.0,0.0,0.026,0.026,-0.002,-0.0127583568320785,0.0,0.049,0.0,0.0
1724368211.115,0.0,0.0,0.026,0.028,0.0,-0.0131248759749973,0.0,-0.045,0.0,-0.2
1724368211.151,0.0,0.0,0.026,0.028,-0.002,-0.0126710903694788,0.0,0.006,0.0,-0.6
1724368211.175,0.0,0.0,0.026,0.027,-0.002,-0.0126885436619987,0.0,0.053,0.0,0.0
1724368211.206,0.0,0.0,0.027,0.028,-0.002,-0.0127059969545187,0.0,-0.04,0.0,0.5
1724368211.23,0.0,0.0,0.027,0.028,-0.002,-0.0126536370769588,0.0,0.029,0.0,0.3
1724368211.261,0.0,0.0,0.027,0.027,-0.003,-0.0126536370769588,0.0,0.066,-0.001,-0.3
1724368211.291,0.0,0.0,0.027,0.029,-0.003,-0.012618730491919,0.0,0.041,0.0,0.0
1724368211.334,0.0,0.0,0.028,0.027,-0.003,-0.0126536370769588,0.0,0.094,-0.001,0.0
1724368211.358,0.0,0.0,0.027,0.027,0.0,-0.0132645023151569,0.0,0.012,0.0,-0.2
1724368211.382,0.0,0.0,0.027,0.027,-0.004,-0.0126710903694788,0.0,-0.063,0.001,-0.9
1724368211.413,0.0,0.0,0.028,0.029,-0.002,-0.0128805298797181,0.0,-0.033,0.0,0.4
1724368211.443,0.0,0.0,0.028,0.029,0.0,-0.0132470490226369,0.0,-0.037,0.0,-0.2
1724368211.474,0.0,0.0,0.027,0.027,-0.004,-0.0126885436619987,0.0,-0.045,0.0,0.3
1724368211.51,0.0,0.0,0.027,0.028,-0.003,-0.0126885436619987,0.0,-0.002,0.0,0.0
1724368211.535,0.0,0.0,0.027,0.029,-0.004,-0.0127059969545187,0.0,-0.032,0.0,0.0
1724368211.565,0.0,0.0,0.028,0.029,-0.004,-0.0126885436619987,0.0,-0.099,0.001,0.5
1724368211.601,0.0,0.0,0.027,0.027,0.002,-0.0136135681655557,0.0,0.037,0.0,-0.5
1724368211.62,0.0,0.0,0.027,0.027,-0.003,-0.0127059969545187,0.0,-0.046,0.0,0.2
1724368211.65,0.0,0.0,0.027,0.027,-0.003,-0.0127583568320785,0.0,0.066,-0.001,0.9
1724368211.681,0.0,0.0,0.027,0.028,-0.002,-0.0128630765871982,0.0,0.022,0.0,0.1
1724368211.717,0.0,-0.001,0.028,0.029,-0.004,-0.0127234502470386,0.0,0.078,-0.001,0.0
1724368211.741,0.0,0.0,0.028,0.027,0.001,-0.0135088484104361,0.0,-0.03,0.0,-0.4
1724368211.778,0.0,0.0,0.027,0.027,-0.003,-0.0128107167096383,0.0,-0.01,0.0,0.3
1724368211.802,0.0,0.0,0.027,0.028,0.006,-0.0142418866962737,0.0,0.123,-0.002,-0.8
1724368211.839,0.0,0.0,0.027,0.027,0.001,-0.013526301702956,0.0,-0.032,0.0,-0.1
1724368211.863,0.0,0.0,0.027,0.027,-0.003,-0.0128456232946782,0.0,0.057,0.0,0.0
1724368211.893,0.0,0.0,0.027,0.027,-0.003,-0.0128456232946782,0.0,-0.142,0.002,-0.1
1724368211.93,0.0,0.0,0.027,0.027,0.001,-0.0135437549954759,0.0,-0.027,0.0,0.4
